system:index,date,rainfall_max_mm,rainfall_mean_mm,rainfall_min_mm,rainfall_std_mm,.geo
19900101,1990-01-01,25.965042114257812,1.9997468480893204,0.0,3.5427742085867258,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900102,1990-01-02,12.02356243133545,0.6753695446657507,0.0,1.9896264336494716,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900103,1990-01-03,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900104,1990-01-04,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900105,1990-01-05,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900106,1990-01-06,32.066341400146484,1.8425899458052597,0.0,3.9571012346294285,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900107,1990-01-07,10.722005844116211,1.3691931076460349,0.0,2.4999590666944984,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900108,1990-01-08,22.75861930847168,0.9435312342548352,0.0,2.8155777561604634,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900109,1990-01-09,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900110,1990-01-10,1.708397388458252,0.00214378815151175,0.0,0.059879252181315665,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900111,1990-01-11,17.223373413085938,0.2689460194568264,0.0,1.5114382011956766,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900112,1990-01-12,43.979270935058594,1.417849075761963,0.0,4.364151322642257,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900113,1990-01-13,43.979270935058594,1.8474795961876025,0.0,5.8144533256340685,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900114,1990-01-14,3.4413034915924072,0.004318331145243435,0.0,0.12061753371764734,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900115,1990-01-15,3.4413034915924072,0.01956168803047021,0.0,0.1909181415472709,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900116,1990-01-16,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900117,1990-01-17,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900118,1990-01-18,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900119,1990-01-19,1.2206268310546875,0.00295440324258767,0.0,0.058354970647020415,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900120,1990-01-20,1.2206268310546875,0.0118406803858513,0.0,0.10527826124220031,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900121,1990-01-21,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900122,1990-01-22,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900123,1990-01-23,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900124,1990-01-24,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900125,1990-01-25,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900126,1990-01-26,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900127,1990-01-27,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900128,1990-01-28,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900129,1990-01-29,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900130,1990-01-30,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900131,1990-01-31,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900201,1990-02-01,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900202,1990-02-02,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900203,1990-02-03,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900204,1990-02-04,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900205,1990-02-05,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900206,1990-02-06,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900207,1990-02-07,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900208,1990-02-08,8.784278869628906,0.65302923884139,0.0,1.7538075867727267,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900209,1990-02-09,2.6810648441314697,0.006329781955941049,0.0,0.12518822670186233,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900210,1990-02-10,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900211,1990-02-11,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900212,1990-02-12,6.351607322692871,0.10101952689292044,0.0,0.6639350359500905,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900213,1990-02-13,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900214,1990-02-14,7.9460225105285645,0.8759417580757831,0.0,1.7639501345370727,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900215,1990-02-15,9.637542724609375,0.9092311915728741,0.0,1.9542247141909814,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900216,1990-02-16,9.114633560180664,0.7363964609064485,0.0,1.7373264154150263,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900217,1990-02-17,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900218,1990-02-18,2.8517754077911377,0.0034943584576621993,0.0,0.09995460070429203,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900219,1990-02-19,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900220,1990-02-20,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900221,1990-02-21,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900222,1990-02-22,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900223,1990-02-23,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900224,1990-02-24,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900225,1990-02-25,5.508037567138672,0.12896571218565303,0.0,0.6333666189182081,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900226,1990-02-26,2.6695659160614014,0.01170050929448936,0.0,0.16370335054856813,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900227,1990-02-27,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900228,1990-02-28,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900301,1990-03-01,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19900302,1990-03-02,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
